SR,Question,Option1,Option1Correct,Option2,Option2Correct,Option3,Option3Correct,Option4,Option4Correct,Option5,Option5Correct,Option6,Option6Correct
1,Who was the first Governor of the Reserve Bank?,Sir Osborne Smith,TRUE,"Sir James Taylor
",FALSE,"Sir C D Deshmukh
",FALSE,"Sir Benegal Rama Rau
",FALSE,"K G Ambegaonkar
",FALSE,"H V R Iengar
",FALSE
2,"Who was the first director of Central Bureau of Investigation
?",F. V. Arul,FALSE,D. P. Kohli	,TRUE,S. N. Mathur,FALSE,D. R. Karthikeyan,FALSE,,FALSE,,FALSE
3,when first Five-Year Plans of India started?,1941,FALSE,1951,TRUE,1961,FALSE,1971,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE
